Unnamed: 7,ECSE,KG,1,2,3,4,5,6,7,8,9,10,11,12
Ada-Borup-West Elementary,22.0,50.0,54.0,54.0,47.0,46.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ada-Borup-West Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,41.0,49.0,41.0,65.0,52.0,45.0
Adams Elementary,0.0,85.0,99.5,126.0,71.0,70.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams Magnet Elementary,8.0,143.0,129.0,88.0,69.0,65.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Elementary,14.0,68.0,39.0,36.0,46.0,45.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,47.0,43.0,0.0,0.0,0.0,0.0
Adrian Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,35.0,40.0,45.0
Afton-Lakeland Elementary,0.0,61.0,81.0,86.0,76.0,71.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agamim Classical Academy,0.0,22.0,35.0,23.0,32.0,37.0,22.0,39.0,30.0,21.0,0.0,0.0,0.0,0.0
Ages 3-5 Early Childhood Special Education,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aim Academy of Science and Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,32.0,47.0,27.0,29.0,0.0
Aitkin Alternative Learning Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,6.0
Aitkin Secondary School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,87.0,81.0,102.0,93.0,79.0
Akin Road Elementary,34.0,77.0,75.0,75.0,82.0,75.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albany Area High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,149.0,152.0,111.0
Albany Area Middle School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,158.0,161.0,0.0,0.0,0.0,0.0
Albany Elementary,0.0,70.0,81.0,69.0,78.0,88.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Lea Area Learning Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,1.0,8.0,25.0,60.0
Albert Lea Senior High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,266.0,264.0,238.0,201.0
Albertville Primary,83.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alden-Conger Elementary,0.0,29.0,31.0,34.0,29.0,36.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Alden-Conger Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,44.0,41.0,32.0,36.0,30.0
Alexander Learning Academy,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,5.0,7.0,4.0,4.0
Alexandria Area High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,340.0,331.0,312.0
Alice Smith Elementary,5.0,76.0,75.0,85.0,73.0,75.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alternative Learning Cooperative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0
American Indian Magnet School,4.0,55.0,51.0,49.0,49.0,44.0,69.0,54.0,56.0,60.0,0.0,0.0,0.0,0.0
Anchor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0
Andersen Elementary,0.0,59.0,51.0,50.0,56.0,52.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andersen Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,337.0,304.0,0.0,0.0,0.0,0.0
Andover Elementary,0.0,188.0,208.0,174.0,195.0,213.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andover High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,450.0,455.0,437.0
Angle Inlet Elementary,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Anishinabe Academy Elementary,0.0,34.0,31.0,42.0,22.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anna Westin House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,1.0
Annandale Elementary School,35.0,143.0,138.0,155.0,163.0,146.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annandale Middle School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,140.0,163.0,0.0,0.0,0.0,0.0
Annandale Senior High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,158.0,152.0,151.0
Anoka High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,645.0,577.0,534.0
Anoka Middle School For The Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,526.0,561.0,0.0,0.0,0.0,0.0
Anoka-Hennepin Regional High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,67.0,110.0
Anoka-Hennepin Specialty Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Anoka-Hennepin Technical High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0
Anthony Louis House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0
Anthony Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,247.0,245.0,0.0,0.0,0.0,0.0
Anwatin Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,79.0,104.0,0.0,0.0,0.0,0.0
Apollo Senior High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,310.0,342.0,284.0
Apple Valley Senior High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,545.0,450.0,398.0
Appleton-Milan Elementary,12.0,36.0,44.0,30.0,29.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquila Elementary,0.0,80.0,74.0,94.0,73.0,92.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arcadia Charter School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,13.0,20.0,13.0,16.0,15.0
Argyle Elementary,0.0,19.0,23.0,25.0,21.0,20.0,18.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
Armatage Elementary,19.0,58.0,74.0,57.0,58.0,62.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armstrong Elementary,0.0,51.0,49.0,56.0,56.0,46.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armstrong School,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrowhead Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,6.0
Art & Science Academy Middle School,0.0,0.0,0.0,0.0,0.0,0.0,27.0,38.0,21.0,31.0,0.0,0.0,0.0,0.0
Art and Science Academy,0.0,37.0,38.0,42.0,39.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashby Elementary,1.0,15.0,23.0,30.0,28.0,27.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashby Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,29.0,20.0,26.0,22.0,22.0
Aspen Academy,0.0,78.0,88.0,84.0,92.0,86.0,74.0,47.0,38.0,35.0,0.0,0.0,0.0,0.0
Aspen House Education Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
Aspire Academy Elementary,0.0,34.0,30.0,27.0,21.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aspire Academy Middle School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,12.0,0.0,0.0,0.0,0.0
Atheneum Elementary,0.0,0.0,0.0,16.0,20.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Athlos Academy of Saint Cloud,0.0,38.0,37.0,50.0,40.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Athlos Leadership Academy,0.0,64.0,70.0,93.0,80.0,92.0,89.0,81.0,85.0,59.0,0.0,0.0,0.0,0.0
Augsburg Fairview Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,15.0,58.0
Aurora Charter School,3.0,39.0,41.0,46.0,47.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurora Middle School,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,51.0,46.0,0.0,0.0,0.0,0.0
Aurora Waasakone Community of Learners Charter School,0.0,13.0,16.0,20.0,17.0,16.0,23.0,13.0,10.0,13.0,0.0,0.0,0.0,0.0
Austin Area Learning Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,20.0,17.0,32.0,86.0
Austin Community Learning Center,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Online Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,20.0,33.0,30.0
Austin Senior High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,414.0,346.0,280.0
Avalon Middle School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,27.0,0.0,0.0,0.0,0.0
Avalon School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,43.0,46.0,46.0
Avon Elementary,25.0,37.0,41.0,43.0,52.0,42.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BECKER ALTERNATIVE LEARNING PROGRAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0
BEMIDJI AREA LEARNING CENTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,43.0
BENSON AREA LEARNING CENTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0
BES Transition Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
BOLD Middle School,0.0,0.0,0.0,0.0,0.0,0.0,51.0,47.0,36.0,47.0,0.0,0.0,0.0,0.0
BOLD Senior High School,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,54.0,52.0,44.0
BOLD-Bird Island Elementary,0.0,37.0,47.0,59.0,36.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Babbitt Elementary,2.0,13.0,11.0,12.0,18.0,17.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Badger Elementary,2.0,17.0,17.0,13.0,18.0,19.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Badger Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,20.0,17.0,20.0,18.0
Bagley ALP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bagley Elementary,18.0,77.0,67.0,80.0,55.0,67.0,63.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagley Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,58.0,79.0,54.0,80.0,54.0
Bamber Valley Elementary,0.0,88.0,97.0,101.0,98.0,111.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banaadir Academy,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
