DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
23-24	279	31	Osseo Public School District	2	St. Alphonsus	5	13	8	9	11	7	13	11	19	0	0	0	0	61	30	96	0	53	53	9	27	Hennepin                                     	11
23-24	279	31	Osseo Public School District	3	St. John's Lutheran	13	15	12	24	14	25	12	15	11	0	0	0	0	102	26	141	0	5	5	0	27	Hennepin                                     	11
23-24	279	31	Osseo Public School District	4	St. Vincent de Paul	51	56	56	54	53	55	52	45	54	0	0	0	0	326	99	476	0	0	0	0	27	Hennepin                                     	11
23-24	279	31	Osseo Public School District	6	Maranatha Christian Academy	58	53	50	60	67	48	76	77	56	83	65	62	60	354	403	815	0	58	58	16	27	Hennepin                                     	11
23-24	279	31	Osseo Public School District	7	Ave Maria Academy	23	24	23	19	19	21	19	21	10	0	0	0	0	125	31	179	0	2	2	0	27	Hennepin                                     	11
23-24	279	31	Osseo Public School District	15	Pioneers Academy	20	17	0	0	0	0	0	0	0	0	0	0	0	17	0	37	0	0	0	0	27	Hennepin                                     	11
23-24	279	31	Osseo Public School District	66	Heritage Christian Academy	64	62	67	50	42	48	52	45	50	35	35	20	19	321	204	589	0	0	0	0	27	Hennepin                                     	11
23-24	280	31	Richfield Public School District	1	Academy of Holy Angels	0	0	0	0	0	0	0	0	0	150	163	149	165	0	627	627	0	45	45	1	27	Hennepin                                     	11
23-24	280	31	Richfield Public School District	2	Blessed Trinity-Nicollet Campus	0	0	0	0	22	23	31	23	35	0	0	0	0	76	58	134	0	65	65	33	27	Hennepin                                     	11
23-24	280	31	Richfield Public School District	6	Blessed Trinity-Penn Campus	19	7	17	21	0	0	0	0	0	0	0	0	0	45	0	64	0	34	34	23	27	Hennepin                                     	11
23-24	281	31	Robbinsdale Public School District	1	St. Raphael Catholic School	22	14	17	20	18	15	17	18	9	0	0	0	0	101	27	150	0	56	56	44	27	Hennepin                                     	11
23-24	281	31	Robbinsdale Public School District	61	King of Grace Lutheran School	19	24	17	20	23	16	19	23	12	0	0	0	0	119	35	173	0	13	13	0	27	Hennepin                                     	11
23-24	281	31	Robbinsdale Public School District	65	Sacred Heart School	16	9	20	14	10	17	17	15	24	0	0	0	0	87	39	142	0	37	37	0	27	Hennepin                                     	11
23-24	281	31	Robbinsdale Public School District	67	Holy Trinity Lutheran School	11	5	12	7	9	8	5	10	6	0	0	0	0	46	16	73	0	12	12	0	27	Hennepin                                     	11
23-24	281	31	Robbinsdale Public School District	68	RiverTree School	12	17	10	14	13	9	7	15	15	14	8	6	4	70	62	144	0	0	0	0	27	Hennepin                                     	11
23-24	282	31	St. Anthony-New Brighton Schools	1	St. Charles Borromeo	34	32	36	36	40	30	38	31	28	0	0	0	0	212	59	305	0	55	55	18	27	Hennepin                                     	11
23-24	283	31	St. Louis Park Public School District	1	Benilde - St. Margaret's	0	0	0	0	0	0	0	81	125	230	223	240	217	0	1,116	1,116	0	52	52	3	27	Hennepin                                     	11
23-24	283	31	St. Louis Park Public School District	4	Metropolitan Open School	0	2	0	0	0	3	0	0	0	0	0	0	0	5	0	5	0	0	0	0	27	Hennepin                                     	11
23-24	283	31	St. Louis Park Public School District	8	Torah Academy	31	33	20	34	15	36	30	18	26	0	0	0	0	168	44	243	0	42	42	0	27	Hennepin                                     	11
23-24	283	31	St. Louis Park Public School District	14	Groves Academy	0	0	3	10	25	40	49	31	35	24	21	26	13	127	150	277	0	0	0	0	27	Hennepin                                     	11
23-24	283	31	St. Louis Park Public School District	15	Holy Family Academy	30	21	21	24	20	22	19	21	10	0	0	0	0	127	31	188	0	15	15	5	27	Hennepin                                     	11
23-24	283	31	St. Louis Park Public School District	16	Heilicher Minneapolis Jewish Day School	24	16	20	21	29	18	12	19	12	0	0	0	0	116	31	171	0	0	0	0	27	Hennepin                                     	11
23-24	283	31	St. Louis Park Public School District	19	Bais Yaakov High School	0	0	0	0	0	0	0	0	0	11	10	16	2	0	39	39	0	12	12	0	27	Hennepin                                     	11
23-24	283	31	St. Louis Park Public School District	23	Yeshiva of Minneapolis	0	0	0	0	0	0	0	0	0	28	15	26	17	0	86	86	0	0	0	0	27	Hennepin                                     	11
23-24	284	31	Wayzata Public School District	2	Redeemer Christian Academy	10	24	14	16	23	14	7	13	7	0	0	0	0	98	20	128	0	5	5	0	27	Hennepin                                     	11
23-24	284	31	Wayzata Public School District	3	St. Bartholomew	16	17	21	21	26	16	9	0	0	0	0	0	0	110	0	126	0	0	0	0	27	Hennepin                                     	11
23-24	284	31	Wayzata Public School District	9	Hand in Hand Montessori-West Campus	13	3	9	4	4	0	1	0	0	0	0	0	0	21	0	34	0	4	4	0	27	Hennepin                                     	11
23-24	284	31	Wayzata Public School District	10	Providence Academy	52	54	52	68	60	60	69	75	81	95	86	88	70	363	495	910	0	0	0	0	27	Hennepin                                     	11
23-24	284	31	Wayzata Public School District	11	West Lutheran High School	0	0	0	0	0	0	0	0	0	70	55	50	41	0	216	216	0	0	0	2	27	Hennepin                                     	11
23-24	284	31	Wayzata Public School District	12	Fourth Baptist	20	26	26	31	25	24	27	27	15	20	21	13	24	159	120	299	0	0	0	18	27	Hennepin                                     	11
23-24	284	31	Wayzata Public School District	21	Brightmont Academy	0	0	0	0	0	0	0	1	4	0	3	4	6	0	18	18	0	0	0	0	27	Hennepin                                     	11
23-24	284	31	Wayzata Public School District	22	Excel High School	0	0	0	0	0	0	4	9	15	4	8	11	12	4	59	63	0	0	0	0	27	Hennepin                                     	11
23-24	284	31	Wayzata Public School District	23	Northgate Academy	0	0	0	0	0	0	0	0	0	9	8	7	9	0	33	33	0	0	0	0	27	Hennepin                                     	11
23-24	299	31	Caledonia Public School District	1	St. John's Lutheran School	5	17	10	8	8	5	7	9	6	0	0	0	0	55	15	75	0	13	13	0	28	Houston                                      	10
23-24	299	31	Caledonia Public School District	15	St. Mary's Elementary	11	14	13	16	12	11	12	8	12	0	0	0	0	78	20	109	0	0	0	0	28	Houston                                      	10
23-24	300	31	La Crescent-Hokah School District	1	Crucifixion	15	14	20	12	15	10	13	0	0	0	0	0	0	84	0	99	0	2	2	0	28	Houston                                      	10
23-24	300	31	La Crescent-Hokah School District	2	St. Peter	4	4	4	5	5	6	3	4	3	0	0	0	0	27	7	38	0	2	2	0	28	Houston                                      	10
23-24	314	31	Braham Public School District	311	A Thousand Generations Academy	0	0	1	3	2	2	3	1	2	0	1	2	2	11	8	19	0	0	0	0	30	Isanti                                       	07E
23-24	318	31	Grand Rapids Public School District	3	St. Joseph's Catholic School	18	25	18	22	20	22	9	0	0	0	0	0	0	116	0	134	0	6	6	0	31	Itasca                                       	03
23-24	318	31	Grand Rapids Public School District	4	Blackberry Seventh Day Adventist	0	0	0	1	0	2	1	1	1	0	0	0	0	4	2	6	0	0	0	0	31	Itasca                                       	03
23-24	318	31	Grand Rapids Public School District	9	Lighthouse Christian Academy	15	12	8	10	10	9	11	7	7	3	0	0	0	60	17	92	0	25	25	0	31	Itasca                                       	03
23-24	330	31	Heron Lake-Okabena School District	1	St. John's Lutheran School	1	0	2	0	2	4	2	0	0	0	0	0	0	10	0	11	0	2	2	0	32	Jackson                                      	08
23-24	347	31	Willmar Public School District	1	Community Christian	19	14	23	17	20	19	22	11	19	16	18	16	5	115	85	219	0	50	50	2	34	Kandiyohi                                    	06E
23-24	361	31	International Falls School District	21	St. Thomas Aquinas	4	7	4	6	4	2	0	0	0	0	0	0	0	23	0	27	0	8	8	0	36	Koochiching                                  	03
23-24	413	31	Marshall Public School District	10	Holy Redeemer	34	18	24	25	22	34	20	25	15	0	0	0	0	143	40	217	0	23	23	0	42	Lyon                                         	08
23-24	413	31	Marshall Public School District	11	Samuel Lutheran	3	6	5	7	4	7	4	3	6	0	0	0	0	33	9	45	0	2	2	0	42	Lyon                                         	08
23-24	413	31	Marshall Public School District	20	True Light Christian School	19	14	13	14	11	8	14	6	11	0	0	0	0	74	17	110	0	10	10	0	42	Lyon                                         	08
23-24	413	31	Marshall Public School District	21	Hope Academy of Hope Harbor	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	3	0	0	0	0	42	Lyon                                         	08
23-24	414	31	Minneota Public School District	10	St. Edward	9	4	6	3	5	9	4	6	4	0	0	0	0	31	10	50	0	16	16	0	42	Lyon                                         	08
23-24	423	31	Hutchinson Public School District	1	Northwoods Elementary	6	4	7	6	6	6	8	3	6	0	0	0	0	37	9	52	0	0	0	0	43	McLeod                                       	06E
23-24	423	31	Hutchinson Public School District	2	Immanuel Lutheran	9	7	8	5	6	6	5	5	7	0	0	0	0	37	12	58	0	15	15	0	43	McLeod                                       	06E
23-24	423	31	Hutchinson Public School District	3	Maplewood Academy	0	0	0	0	0	0	0	0	0	14	19	16	22	0	71	71	0	0	0	5	43	McLeod                                       	06E
23-24	423	31	Hutchinson Public School District	7	St. Anastasia	12	13	15	12	13	7	4	2	0	0	0	0	0	64	2	78	0	13	13	0	43	McLeod                                       	06E
23-24	432	31	Mahnomen Public School District	1	St. Michael	3	1	8	5	6	4	6	0	0	0	0	0	0	30	0	33	0	15	15	1	44	Mahnomen                                     	02
23-24	458	31	Truman Public School District	1	St. Paul's Lutheran	6	5	4	5	8	5	7	6	3	0	0	0	0	34	9	49	0	24	24	0	46	Martin                                       	09
23-24	465	31	Litchfield Public School District	1	St. Philip	10	10	10	6	9	7	0	0	0	0	0	0	0	42	0	52	0	10	10	0	47	Meeker                                       	06E
23-24	477	31	Princeton Public School District	42	Discovery Montessori Academy	11	12	11	9	6	4	5	5	0	0	0	0	0	47	5	63	0	0	0	0	48	Mille Lacs                                   	07E
23-24	482	31	Little Falls Community Schools	2	Mary of Lourdes Elementary/Middle School	28	29	36	36	18	28	25	23	20	0	0	0	0	172	43	243	0	24	24	0	49	Morrison                                     	05
23-24	484	31	Pierz Public School District	4	Holy Trinity Catholic School	30	16	17	13	19	14	14	0	0	0	0	0	0	93	0	123	0	25	25	0	49	Morrison                                     	05
23-24	492	31	Austin Public School District	6	Pacelli Catholic Schools	20	19	25	24	17	18	21	25	25	21	13	11	11	124	106	250	0	63	63	1	50	Mower                                        	10
23-24	500	31	Southland Public School District	1	Sacred Heart	11	6	10	15	12	11	15	8	11	0	0	0	0	69	19	99	0	18	18	0	50	Mower                                        	10
23-24	507	31	Nicollet Public School District	1	Immanuel Lutheran	7	5	2	11	3	2	4	5	4	0	0	0	0	27	9	43	0	0	0	0	52	Nicollet                                     	09
23-24	507	31	Nicollet Public School District	2	Trinity Evangelical Lutheran	5	5	8	7	6	2	2	0	2	0	0	0	0	30	2	37	0	3	3	0	52	Nicollet                                     	09
23-24	508	31	St. Peter Public School District	1	John Ireland	15	7	17	9	14	6	8	5	0	0	0	0	0	61	5	81	0	2	2	2	52	Nicollet                                     	09
23-24	508	31	St. Peter Public School District	2	St. Peter Evangelical Lutheran	7	8	7	14	6	5	8	9	6	0	0	0	0	48	15	70	0	10	10	0	52	Nicollet                                     	09
23-24	518	31	Worthington Public School District	22	St. Mary's	9	7	16	12	11	13	0	0	5	0	0	0	0	59	5	73	0	48	48	32	53	Nobles                                       	08
23-24	518	31	Worthington Public School District	23	Worthington Christian	15	7	17	13	11	9	13	9	6	0	0	0	0	70	15	100	0	22	22	0	53	Nobles                                       	08
23-24	535	31	Rochester Public School District	160	Rochester Arts & Sciences Academy	30	28	29	23	19	13	2	6	0	0	0	0	0	114	6	150	0	0	0	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	162	Rochester Central Lutheran	36	46	27	42	43	28	41	38	33	0	0	0	0	227	71	334	0	9	9	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	164	St. Francis of Assisi	31	35	46	39	43	49	38	37	33	0	0	0	0	250	70	351	0	58	58	18	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	166	Co-Cathedral of St. John the Evangelist Middle School	0	0	0	0	0	0	49	81	62	0	0	0	0	49	143	192	0	29	29	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	168	St. Pius X	28	23	34	21	36	26	0	0	0	0	0	0	0	140	0	168	0	26	26	2	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	170	Schaeffer Academy	25	26	24	23	26	26	24	25	26	19	18	18	15	149	121	295	0	0	0	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	172	Rochester Montessori	30	14	18	18	10	10	15	2	1	0	0	0	0	85	3	118	0	0	0	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	174	Resurrection Lutheran	15	14	14	12	17	8	8	5	13	0	0	0	0	73	18	106	0	21	21	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	179	Holy Spirit	21	29	31	25	27	22	0	0	0	0	0	0	0	134	0	155	0	23	23	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	205	Victory Academy	3	4	1	3	1	2	1	1	0	0	0	0	0	12	1	16	0	0	0	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	207	Rochester Pentecostal	1	0	0	1	0	1	0	0	0	0	2	2	2	2	6	9	0	0	0	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	208	Rochester Adventist Elementary School	2	2	3	4	2	3	0	0	0	0	0	0	0	14	0	16	0	0	0	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	215	Seeds of Wisdom	0	0	1	0	1	0	1	2	0	2	0	0	0	3	4	7	0	0	0	0	55	Olmsted                                      	10
23-24	535	31	Rochester Public School District	345	Lourdes High School	0	0	0	0	0	0	0	0	0	83	95	66	78	0	322	322	0	21	21	0	55	Olmsted                                      	10
23-24	544	31	Fergus Falls Public School District	1	Hillcrest Lutheran Academy	23	22	22	16	26	26	23	31	22	23	35	38	34	135	183	341	0	21	21	0	56	Otter Tail                                   	04
23-24	544	31	Fergus Falls Public School District	2	Our Lady of Victory	15	12	16	10	16	13	6	0	0	0	0	0	0	73	0	88	0	19	19	0	56	Otter Tail                                   	04
23-24	549	31	Perham-Dent Public School District	1	St. Henry's Area School	17	21	12	15	17	12	14	0	0	0	0	0	0	91	0	108	0	25	25	0	56	Otter Tail                                   	04
23-24	549	31	Perham-Dent Public School District	2	St. Paul's Lutheran	16	9	9	12	10	7	1	1	2	0	0	0	0	48	3	67	0	19	19	0	56	Otter Tail                                   	04
23-24	564	31	Thief River Falls School District	1	St. Bernard's	16	8	17	9	11	11	0	0	0	0	0	0	0	56	0	72	0	27	27	4	57	Pennington                                   	01
23-24	564	31	Thief River Falls School District	3	St. John Lutheran School	2	2	1	4	1	1	2	2	1	3	2	0	0	11	8	21	0	0	0	0	57	Pennington                                   	01
23-24	581	31	Edgerton Public School District	1	Southwest Minnesota Christian Elementary School	30	27	30	43	20	26	27	32	30	0	0	0	0	173	62	265	0	55	55	0	59	Pipestone                                    	08
23-24	581	31	Edgerton Public School District	2	Free Christian School	2	2	1	1	2	2	2	1	1	0	0	0	0	10	2	14	0	0	0	0	59	Pipestone                                    	08
23-24	581	31	Edgerton Public School District	4	Southwest Minnesota Christian High School	0	0	0	0	0	0	0	0	0	39	34	33	28	0	134	134	0	25	25	0	59	Pipestone                                    	08
23-24	593	31	Crookston Public School District	1	Cathedral	7	15	11	11	11	3	0	0	0	0	0	0	0	51	0	58	0	11	11	0	60	Polk                                         	01
23-24	593	31	Crookston Public School District	2	Our Savior's Lutheran	11	5	7	6	5	5	3	0	0	0	0	0	0	31	0	42	0	12	12	0	60	Polk                                         	01
23-24	595	31	East Grand Forks Public Schools	2	Sacred Heart School	34	41	38	34	32	37	47	47	35	39	26	36	27	229	210	473	0	29	29	0	60	Polk                                         	01
23-24	595	31	East Grand Forks Public Schools	4	Riverside Christian	18	21	26	19	26	20	17	18	15	8	3	5	6	129	55	202	0	15	15	0	60	Polk                                         	01
23-24	621	31	Mounds View Public School District	82	St. John the Baptist	51	38	42	45	48	43	50	39	48	0	0	0	0	266	87	404	0	9	9	0	62	Ramsey                                       	11
23-24	621	31	Mounds View Public School District	83	St. Odilia	66	68	65	66	69	70	63	72	54	0	0	0	0	401	126	593	0	17	17	4	62	Ramsey                                       	11
23-24	621	31	Mounds View Public School District	84	GraceWay Chinese-English Christian Academy	0	1	2	3	1	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	62	Ramsey                                       	11
23-24	621	31	Mounds View Public School District	86	Harbon Montessori	1	1	3	1	2	1	0	0	0	0	0	0	0	8	0	9	0	0	0	0	62	Ramsey                                       	11
23-24	622	31	North St. Paul-Maplewood Oakdale Public School District	50	Capital City Adventist Christian School	4	3	5	2	1	3	2	7	2	0	0	0	0	16	9	29	0	0	0	0	62	Ramsey                                       	11
23-24	622	31	North St. Paul-Maplewood Oakdale Public School District	51	Christ Lutheran	8	9	11	10	11	9	18	4	15	0	0	0	0	68	19	95	0	17	17	0	62	Ramsey                                       	11
23-24	622	31	North St. Paul-Maplewood Oakdale Public School District	63	Mounds Park Academy	32	30	33	25	33	39	33	51	44	59	57	56	61	193	328	553	0	25	25	12	62	Ramsey                                       	11
23-24	622	31	North St. Paul-Maplewood Oakdale Public School District	64	Hill-Murray	0	0	0	0	0	0	80	86	112	217	186	163	183	80	947	1,027	0	62	62	3	62	Ramsey                                       	11
23-24	622	31	North St. Paul-Maplewood Oakdale Public School District	66	Presentation of Mary School	18	10	19	23	21	15	18	11	6	0	0	0	0	106	17	141	0	34	34	25	62	Ramsey                                       	11
23-24	622	31	North St. Paul-Maplewood Oakdale Public School District	67	Paidea Child Development Center	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	82	Washington                                   	11
23-24	622	31	North St. Paul-Maplewood Oakdale Public School District	68	Transfiguration	16	13	17	12	21	18	11	2	7	0	0	0	0	92	9	117	0	24	24	5	82	Washington                                   	11
23-24	622	31	North St. Paul-Maplewood Oakdale Public School District	69	St. Peter	24	25	27	21	21	18	16	21	17	0	0	0	0	128	38	190	0	48	48	0	62	Ramsey                                       	11
23-24	622	31	North St. Paul-Maplewood Oakdale Public School District	70	Apostolic Christian Academy	1	1	2	0	2	0	2	3	0	0	0	2	0	7	5	13	0	0	0	0	82	Washington                                   	11
23-24	623	31	Roseville Public School District	1	Concordia Academy	0	0	0	0	0	0	0	0	0	91	85	90	66	0	332	332	0	17	17	0	62	Ramsey                                       	11
23-24	623	31	Roseville Public School District	4	King of Kings Lutheran	16	11	17	16	11	17	15	13	14	0	0	0	0	87	27	130	0	50	50	1	62	Ramsey                                       	11
23-24	623	31	Roseville Public School District	6	Saint John School of Little Canada	30	34	23	37	24	23	11	20	15	0	0	0	0	152	35	217	0	61	61	0	62	Ramsey                                       	11
23-24	623	31	Roseville Public School District	7	St. Rose of Lima	12	16	14	18	19	17	21	14	14	0	0	0	0	105	28	145	0	7	7	0	62	Ramsey                                       	11
23-24	623	31	Roseville Public School District	10	North Heights Christian Academy	34	39	43	34	42	28	40	43	32	0	0	0	0	226	75	335	0	0	0	0	62	Ramsey                                       	11
23-24	623	31	Roseville Public School District	702	Minnesota Waldorf	21	12	10	20	9	12	10	22	0	0	0	0	0	73	22	116	0	0	0	0	62	Ramsey                                       	11
23-24	623	31	Roseville Public School District	705	St. Jerome	18	24	18	19	22	19	18	15	18	0	0	0	0	120	33	171	0	123	123	142	62	Ramsey                                       	11
23-24	623	31	Roseville Public School District	712	Hand in Hand Christian Montessori Central Campus	29	8	6	7	5	14	8	13	17	13	9	6	1	48	59	136	0	23	23	0	62	Ramsey                                       	11
23-24	624	31	White Bear Lake School District	2	Frassati Catholic Academy	28	19	44	22	29	24	27	18	10	0	0	0	0	165	28	221	0	6	6	0	62	Ramsey                                       	11
23-24	624	31	White Bear Lake School District	6	St. Anne's Academy	0	9	9	5	7	8	3	8	3	5	1	2	3	41	22	63	0	0	0	0	62	Ramsey                                       	11
23-24	624	31	White Bear Lake School District	7	White Bear Montessori School	9	7	4	7	2	1	1	0	0	0	0	0	0	22	0	31	0	0	0	0	62	Ramsey                                       	11
23-24	624	31	White Bear Lake School District	13	Magnuson Christian School	16	25	27	18	23	13	10	7	5	0	0	0	0	116	12	144	0	17	17	0	62	Ramsey                                       	11
23-24	624	31	White Bear Lake School District	14	Liberty Classical Academy	0	0	0	41	41	34	42	33	39	24	25	16	2	158	139	297	0	0	0	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	835	Cretin-Derham Hall	0	0	0	0	0	0	0	0	0	235	222	243	217	0	917	917	0	79	79	20	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	842	Highland Catholic	35	36	48	36	52	46	45	38	55	0	0	0	0	263	93	391	0	23	23	17	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	845	Holy Spirit School	24	17	22	18	24	21	27	18	35	0	0	0	0	129	53	206	0	24	24	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	848	Jean Lyle Children’s Center	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	850	Maternity of Mary/St. Andrew	12	7	12	14	7	9	19	12	12	0	0	0	0	68	24	104	0	45	45	34	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	851	Nativity of Our Lord	70	80	84	67	88	87	72	66	71	0	0	0	0	478	137	685	0	20	20	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	861	St. Agnes	37	43	50	50	47	49	50	61	57	90	96	90	75	289	469	795	0	190	190	11	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	868	St. Paul Academy - Summit (Middle)	0	0	0	0	0	0	74	72	88	0	0	0	0	74	160	234	0	0	0	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	872	St. Thomas More Catholic School	32	28	31	34	25	33	32	29	29	0	0	0	0	183	58	273	0	13	13	2	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	875	St. Pascal Regional Catholic School	13	8	8	16	15	15	16	8	12	0	0	0	0	78	20	111	0	75	75	19	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	877	St. Paul Academy - Summit (Lower)	31	40	38	41	48	46	0	0	0	0	0	0	0	213	0	244	0	0	0	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	878	St. Paul Academy - Summit (Upper)	0	0	0	0	0	0	0	0	0	108	113	95	96	0	412	412	0	0	0	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	880	St. Peter Claver Catholic School	11	10	16	13	11	11	7	8	2	0	0	0	0	68	10	89	0	72	72	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	883	Children's Center Montessori, Inc.	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	62	Ramsey                                       	11 
23-24	625	31	Saint Paul Public Schools	885	Sunny Hollow Montessori	19	12	11	13	13	9	12	10	8	0	0	0	0	70	18	107	0	10	10	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	921	Cathedral Hill Montessori School	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	948	Lubavitch Cheder Day School	3	5	0	5	4	5	2	3	0	0	0	0	0	21	3	27	0	27	27	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	957	Christ's Household of Faith	6	7	4	6	6	9	7	8	11	12	11	13	8	39	63	108	0	97	97	0	62	Ramsey                                       	11
23-24	625	31	Saint Paul Public Schools	975	Friends School of Minnesota	13	16	15	15	15	14	20	17	10	0	0	0	0	95	27	135	0	8	8	0	62	Ramsey                                       	11
23-24	640	31	Wabasso Public School District	2	St. Anne	13	14	13	12	12	8	9	0	0	0	0	0	0	68	0	81	0	2	2	0	64	Redwood                                      	08
23-24	656	31	Faribault Public School District	1	Bethlehem Academy	0	0	0	0	0	0	31	39	29	34	38	26	43	31	209	240	0	7	7	0	66	Rice                                         	10
23-24	656	31	Faribault Public School District	2	Shattuck-St. Mary's	0	0	0	0	0	0	7	8	35	52	100	98	88	7	381	388	0	0	0	40	66	Rice                                         	10
23-24	656	31	Faribault Public School District	3	Divine Mercy Catholic School	32	37	44	26	38	34	0	0	0	0	0	0	0	179	0	211	0	34	34	3	66	Rice                                         	10
23-24	656	31	Faribault Public School District	8	Faribault Lutheran	20	23	23	15	9	14	10	11	8	0	0	0	0	94	19	133	0	31	31	0	66	Rice                                         	10
23-24	659	31	Northfield Public School District	12	St. Dominic School	6	9	7	8	11	9	11	3	4	0	0	0	0	55	7	68	0	23	23	2	66	Rice                                         	10
23-24	671	31	Hills-Beaver Creek School District	1	Hills Christian	4	3	0	8	3	1	3	2	2	0	0	0	0	18	4	26	0	0	0	0	67	Rock                                         	08
23-24	701	31	Hibbing Public School District	1	Assumption	15	21	16	11	10	8	17	0	0	0	0	0	0	83	0	98	0	17	17	0	69	St. Louis                                    	03
23-24	701	31	Hibbing Public School District	3	Victory Christian Academy	10	7	10	14	15	12	8	11	10	7	10	1	2	66	41	117	0	22	22	0	69	St. Louis                                    	03
23-24	709	31	Duluth Public School District	2	Duluth Marshall School	20	15	17	15	16	16	32	46	27	56	67	53	75	111	324	455	0	33	33	39	69	St. Louis                                    	03
23-24	709	31	Duluth Public School District	3	Stella Maris Academy-Holy Rosary Campus	46	53	45	47	0	0	0	0	0	0	0	0	0	145	0	191	0	23	23	0	69	St. Louis                                    	03
23-24	709	31	Duluth Public School District	4	Lakeview Christian Academy	20	23	19	19	15	12	14	18	20	18	21	17	17	102	111	233	0	57	57	0	69	St. Louis                                    	03
23-24	709	31	Duluth Public School District	7	Stella Maris Academy-St. James Campus	12	14	5	9	12	16	14	0	0	0	0	0	0	70	0	82	0	11	11	0	69	St. Louis                                    	03
23-24	709	31	Duluth Public School District	9	Stella Maris Academy-St. John’s Campus	0	0	0	0	48	45	51	0	0	0	0	0	0	144	0	144	0	11	11	0	69	St. Louis                                    	03
23-24	709	31	Duluth Public School District	11	Stone Ridge Christian	0	0	0	0	2	1	1	0	2	0	0	0	0	4	2	6	0	0	0	0	69	St. Louis                                    	03
23-24	709	31	Duluth Public School District	14	Many Rivers Montessori	17	16	15	16	16	15	7	4	12	0	0	0	0	85	16	118	0	0	0	0	69	St. Louis                                    	03
23-24	709	31	Duluth Public School District	16	Stella Maris High School	0	0	0	0	0	0	0	52	45	28	15	0	0	0	140	140	0	14	14	0	69	St. Louis                                    	03
23-24	716	31	Belle Plaine Public School District	1	Our Lady of the Prairie	3	9	1	0	5	2	2	0	0	0	0	0	0	19	0	22	0	0	0	0	70	Scott                                        	11
23-24	716	31	Belle Plaine Public School District	2	Trinity Lutheran	10	5	7	6	10	8	8	7	5	0	0	0	0	44	12	66	0	10	10	0	70	Scott                                        	11
23-24	717	31	Jordan Public School District	1	St. John the Baptist	20	20	16	16	20	9	8	11	7	0	0	0	0	89	18	127	0	9	9	0	70	Scott                                        	11
23-24	719	31	Prior Lake-Savage Area Schools	1	St. Michael Catholic School	31	34	39	35	32	40	31	39	23	0	0	0	0	211	62	304	0	0	0	0	70	Scott                                        	11
23-24	719	31	Prior Lake-Savage Area Schools	2	Prior Lake Christian	9	6	13	11	6	8	11	14	13	1	6	5	1	55	40	104	0	0	0	0	70	Scott                                        	11
23-24	719	31	Prior Lake-Savage Area Schools	3	St. Paul's Lutheran	13	8	11	15	7	4	4	2	3	0	0	0	0	49	5	67	0	0	0	2	70	Scott                                        	11
23-24	720	31	Shakopee Public School District	1	Shakopee Area Catholic School	46	65	55	46	52	57	55	48	64	0	0	0	0	330	112	488	0	44	44	15	70	Scott                                        	11
