DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
23-24	15	31	St. Francis Area Schools	4	Immaculate Heart of Mary Academy	16	13	19	9	15	10	10	11	10	4	5	4	3	76	37	129	0	0	0	0	2	Anoka                                        	11
23-24	16	31	Spring Lake Park Public Schools	1	Grace Lutheran	2	2	2	2	3	3	3	2	4	0	0	0	0	15	6	23	0	4	4	0	2	Anoka                                        	11
23-24	16	31	Spring Lake Park Public Schools	4	Avail Academy (Blaine K-8 Campus)	18	20	15	18	26	21	15	8	25	0	0	0	0	115	33	166	0	14	14	5	2	Anoka                                        	11
23-24	16	31	Spring Lake Park Public Schools	6	Avail Academy (Fridley 9-12 Campus)	0	0	0	0	0	0	0	0	0	11	9	18	8	0	46	46	0	2	2	0	2	Anoka                                        	11
23-24	16	31	Spring Lake Park Public Schools	714	As-Suffah Academy	17	19	16	19	19	15	13	6	9	0	0	0	0	101	15	133	0	0	0	0	2	Anoka                                        	11
23-24	22	31	Detroit Lakes Public School District	702	Holy Rosary	18	19	17	11	8	17	20	13	11	0	0	0	0	92	24	134	0	9	9	0	3	Becker                                       	04
23-24	22	31	Detroit Lakes Public School District	703	Adventist Christian School	0	0	0	3	1	0	0	2	1	0	0	0	0	4	3	7	0	0	0	0	3	Becker                                       	04
23-24	22	31	Detroit Lakes Public School District	705	Faith Christian School	6	7	0	5	8	3	9	6	3	1	0	0	0	32	10	48	0	1	1	0	3	Becker                                       	04
23-24	31	31	Bemidji Public School District	2	Heartland Christian Academy	9	8	6	5	10	1	5	7	3	1	0	1	0	35	12	56	0	0	0	0	4	Beltrami                                     	02
23-24	31	31	Bemidji Public School District	3	St. Philip's	51	32	34	34	44	38	36	36	36	0	0	0	0	218	72	341	0	31	31	0	4	Beltrami                                     	02
23-24	31	31	Bemidji Public School District	703	St. Mark	3	1	5	3	2	5	2	2	1	0	0	0	0	18	3	24	0	0	0	0	4	Beltrami                                     	02
23-24	31	31	Bemidji Public School District	705	Kingdom Builders Christian School	1	3	0	0	0	0	0	1	2	0	4	0	1	3	8	12	0	0	0	0	4	Beltrami                                     	02
23-24	38	31	Red Lake Public School District	1	St. Mary's Mission	7	8	11	11	11	12	6	0	0	0	0	0	0	59	0	66	0	66	66	0	4	Beltrami                                     	02
23-24	51	31	Foley Public School District	1	St. John's Area School	14	11	10	14	11	20	0	0	0	0	0	0	0	66	0	80	0	22	22	0	5	Benton                                       	07W
23-24	77	31	Mankato Public School District	2	Grace Christian	1	2	4	2	3	0	3	1	2	6	4	2	1	14	16	31	0	0	0	0	7	Blue Earth                                   	09
23-24	77	31	Mankato Public School District	6	Immanuel Lutheran	8	9	6	7	9	13	6	14	12	8	12	10	8	50	64	122	0	35	35	0	7	Blue Earth                                   	09
23-24	77	31	Mankato Public School District	7	Mount Olive Lutheran	23	27	17	29	16	35	26	24	19	0	0	0	0	150	43	216	0	45	45	0	7	Blue Earth                                   	09
23-24	77	31	Mankato Public School District	9	Risen Savior Lutheran School	8	8	7	9	8	11	7	9	14	0	0	0	0	50	23	81	0	11	11	0	7	Blue Earth                                   	09
23-24	77	31	Mankato Public School District	13	Concordia Classical Academy	16	16	14	9	6	11	12	6	10	0	0	0	0	68	16	100	0	22	22	0	52	Nicollet                                     	09
23-24	77	31	Mankato Public School District	17	Loyola Catholic School	63	49	49	33	45	47	36	36	39	28	30	32	26	259	191	513	0	73	73	0	7	Blue Earth                                   	09
23-24	84	31	Sleepy Eye Public School District	2	St. Mary's High School	0	0	0	0	0	0	0	18	12	30	19	20	17	0	116	116	0	7	7	0	8	Brown                                        	09
23-24	84	31	Sleepy Eye Public School District	4	St. Mary's Elementary	13	23	22	22	18	19	23	0	0	0	0	0	0	127	0	140	0	18	18	0	8	Brown                                        	09
23-24	84	31	Sleepy Eye Public School District	60	Grace Lutheran School	0	2	0	2	0	4	1	2	2	0	0	0	0	9	4	13	0	6	6	0	8	Brown                                        	09
23-24	85	31	Springfield Public School District	7	St. Raphael	8	7	11	6	8	8	11	0	0	0	0	0	0	51	0	59	0	16	16	0	8	Brown                                        	09
23-24	88	31	New Ulm Public School District	3	Minnesota Valley Lutheran	0	0	0	0	0	0	0	0	0	91	62	50	66	0	269	269	0	16	16	0	52	Nicollet                                     	09
23-24	88	31	New Ulm Public School District	6	St. Paul's Lutheran	35	28	45	42	37	31	36	27	35	0	0	0	0	219	62	316	0	96	96	0	8	Brown                                        	09
23-24	88	31	New Ulm Public School District	7	New Ulm Area Catholic Schools, Inc.	21	42	26	20	37	25	31	31	30	34	25	36	34	181	190	392	0	64	64	0	8	Brown                                        	09
23-24	94	31	Cloquet Public School District	3	Queen of Peace	13	13	12	12	4	12	8	7	7	0	0	0	0	61	14	88	0	19	19	0	9	Carlton                                      	03
23-24	108	31	Central Public School District	1	Emanuel Lutheran	6	5	1	5	5	9	4	7	8	0	0	0	0	29	15	50	0	11	11	0	10	Carver                                       	11
23-24	108	31	Central Public School District	3	St. John's Lutheran	11	10	8	6	7	8	4	13	3	0	0	0	0	43	16	70	0	15	15	0	10	Carver                                       	11
23-24	108	31	Central Public School District	4	Zion Lutheran	12	8	10	9	8	9	4	3	3	0	0	0	0	48	6	66	0	0	0	0	10	Carver                                       	11
23-24	110	31	Waconia Public School District	1	St. Joseph	23	19	20	21	17	20	19	10	20	0	0	0	0	116	30	169	0	17	17	0	10	Carver                                       	11
23-24	110	31	Waconia Public School District	3	Trinity Lutheran	46	37	32	23	31	29	24	24	16	0	0	0	0	176	40	262	0	19	19	0	10	Carver                                       	11
23-24	111	31	Watertown-Mayer Public School District	4	Christ Community	20	19	21	14	11	15	13	17	11	0	0	0	0	93	28	141	0	22	22	0	10	Carver                                       	11
23-24	111	31	Watertown-Mayer Public School District	6	Zion Lutheran	19	15	15	12	13	13	17	11	18	0	0	0	0	85	29	133	0	14	14	0	10	Carver                                       	11
23-24	111	31	Watertown-Mayer Public School District	7	Mayer Lutheran High School	0	0	0	0	0	0	0	0	0	49	43	50	47	0	189	189	0	15	15	3	10	Carver                                       	11
23-24	112	31	Eastern Carver County Public Schools	2	Jonathan Montessori	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	10	Carver                                       	11
23-24	112	31	Eastern Carver County Public Schools	3	St. Hubert Catholic School	68	63	67	73	70	70	68	61	58	0	0	0	0	411	119	598	0	10	10	0	10	Carver                                       	11
