DISTRICTNAME,schoolname,gr_kg,gr_01,gr_02,gr_03,gr_04,gr_05,gr_06,tot_01_06,tot_07_12,tot_kg_12,free_meal_elg,red_meal_elg,free_red_meals,lep_srv
La Crescent-Hokah School District,Crucifixion,15.0,14.0,20.0,12.0,15.0,10.0,13.0,84.0,0.0,99.0,0.0,2.0,2.0,0.0
La Crescent-Hokah School District,St. Peter,4.0,4.0,4.0,5.0,5.0,6.0,3.0,27.0,7.0,38.0,0.0,2.0,2.0,0.0
Braham Public School District,A Thousand Generations Academy,0.0,0.0,1.0,3.0,2.0,2.0,3.0,11.0,8.0,19.0,0.0,0.0,0.0,0.0
Grand Rapids Public School District,St. Joseph's Catholic School,18.0,25.0,18.0,22.0,20.0,22.0,9.0,116.0,0.0,134.0,0.0,6.0,6.0,0.0
Grand Rapids Public School District,Blackberry Seventh Day Adventist,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0
Grand Rapids Public School District,Lighthouse Christian Academy,15.0,12.0,8.0,10.0,10.0,9.0,11.0,60.0,17.0,92.0,0.0,25.0,25.0,0.0
Heron Lake-Okabena School District,St. John's Lutheran School,1.0,0.0,2.0,0.0,2.0,4.0,2.0,10.0,0.0,11.0,0.0,2.0,2.0,0.0
Willmar Public School District,Community Christian,19.0,14.0,23.0,17.0,20.0,19.0,22.0,115.0,85.0,219.0,0.0,50.0,50.0,2.0
International Falls School District,St. Thomas Aquinas,4.0,7.0,4.0,6.0,4.0,2.0,0.0,23.0,0.0,27.0,0.0,8.0,8.0,0.0
Marshall Public School District,Holy Redeemer,34.0,18.0,24.0,25.0,22.0,34.0,20.0,143.0,40.0,217.0,0.0,23.0,23.0,0.0
Marshall Public School District,Samuel Lutheran,3.0,6.0,5.0,7.0,4.0,7.0,4.0,33.0,9.0,45.0,0.0,2.0,2.0,0.0
Marshall Public School District,True Light Christian School,19.0,14.0,13.0,14.0,11.0,8.0,14.0,74.0,17.0,110.0,0.0,10.0,10.0,0.0
Marshall Public School District,Hope Academy of Hope Harbor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
