DISTRICTNAME,schoolname,gr_kg,gr_01,gr_02,gr_03,gr_04,gr_05,gr_06,tot_01_06,tot_07_12,tot_kg_12,free_meal_elg,red_meal_elg,free_red_meals,lep_srv
Saint Paul Public Schools,Lubavitch Cheder Day School,3.0,5.0,0.0,5.0,4.0,5.0,2.0,21.0,3.0,27.0,0.0,27.0,27.0,0.0
Saint Paul Public Schools,Christ's Household of Faith,6.0,7.0,4.0,6.0,6.0,9.0,7.0,39.0,63.0,108.0,0.0,97.0,97.0,0.0
Saint Paul Public Schools,Friends School of Minnesota,13.0,16.0,15.0,15.0,15.0,14.0,20.0,95.0,27.0,135.0,0.0,8.0,8.0,0.0
Wabasso Public School District,St. Anne,13.0,14.0,13.0,12.0,12.0,8.0,9.0,68.0,0.0,81.0,0.0,2.0,2.0,0.0
Faribault Public School District,Bethlehem Academy,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,209.0,240.0,0.0,7.0,7.0,0.0
Faribault Public School District,Shattuck-St. Mary's,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,381.0,388.0,0.0,0.0,0.0,40.0
Faribault Public School District,Divine Mercy Catholic School,32.0,37.0,44.0,26.0,38.0,34.0,0.0,179.0,0.0,211.0,0.0,34.0,34.0,3.0
Faribault Public School District,Faribault Lutheran,20.0,23.0,23.0,15.0,9.0,14.0,10.0,94.0,19.0,133.0,0.0,31.0,31.0,0.0
Northfield Public School District,St. Dominic School,6.0,9.0,7.0,8.0,11.0,9.0,11.0,55.0,7.0,68.0,0.0,23.0,23.0,2.0
Hills-Beaver Creek School District,Hills Christian,4.0,3.0,0.0,8.0,3.0,1.0,3.0,18.0,4.0,26.0,0.0,0.0,0.0,0.0
Hibbing Public School District,Assumption,15.0,21.0,16.0,11.0,10.0,8.0,17.0,83.0,0.0,98.0,0.0,17.0,17.0,0.0
Hibbing Public School District,Victory Christian Academy,10.0,7.0,10.0,14.0,15.0,12.0,8.0,66.0,41.0,117.0,0.0,22.0,22.0,0.0
Duluth Public School District,Duluth Marshall School,20.0,15.0,17.0,15.0,16.0,16.0,32.0,111.0,324.0,455.0,0.0,33.0,33.0,39.0
Duluth Public School District,Stella Maris Academy-Holy Rosary Campus,46.0,53.0,45.0,47.0,0.0,0.0,0.0,145.0,0.0,191.0,0.0,23.0,23.0,0.0
Duluth Public School District,Lakeview Christian Academy,20.0,23.0,19.0,19.0,15.0,12.0,14.0,102.0,111.0,233.0,0.0,57.0,57.0,0.0
Duluth Public School District,Stella Maris Academy-St. James Campus,12.0,14.0,5.0,9.0,12.0,16.0,14.0,70.0,0.0,82.0,0.0,11.0,11.0,0.0
Duluth Public School District,Stella Maris Academy-St. John’s Campus,0.0,0.0,0.0,0.0,48.0,45.0,51.0,144.0,0.0,144.0,0.0,11.0,11.0,0.0
Duluth Public School District,Stone Ridge Christian,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0
Duluth Public School District,Many Rivers Montessori,17.0,16.0,15.0,16.0,16.0,15.0,7.0,85.0,16.0,118.0,0.0,0.0,0.0,0.0
Duluth Public School District,Stella Maris High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,0.0,14.0,14.0,0.0
Belle Plaine Public School District,Our Lady of the Prairie,3.0,9.0,1.0,0.0,5.0,2.0,2.0,19.0,0.0,22.0,0.0,0.0,0.0,0.0
Belle Plaine Public School District,Trinity Lutheran,10.0,5.0,7.0,6.0,10.0,8.0,8.0,44.0,12.0,66.0,0.0,10.0,10.0,0.0
Jordan Public School District,St. John the Baptist,20.0,20.0,16.0,16.0,20.0,9.0,8.0,89.0,18.0,127.0,0.0,9.0,9.0,0.0
Prior Lake-Savage Area Schools,St. Michael Catholic School,31.0,34.0,39.0,35.0,32.0,40.0,31.0,211.0,62.0,304.0,0.0,0.0,0.0,0.0
Prior Lake-Savage Area Schools,Prior Lake Christian,9.0,6.0,13.0,11.0,6.0,8.0,11.0,55.0,40.0,104.0,0.0,0.0,0.0,0.0
Prior Lake-Savage Area Schools,St. Paul's Lutheran,13.0,8.0,11.0,15.0,7.0,4.0,4.0,49.0,5.0,67.0,0.0,0.0,0.0,2.0
Shakopee Public School District,Shakopee Area Catholic School,46.0,65.0,55.0,46.0,52.0,57.0,55.0,330.0,112.0,488.0,0.0,44.0,44.0,15.0
Shakopee Public School District,Living Hope Lutheran School,22.0,20.0,23.0,16.0,23.0,0.0,0.0,82.0,0.0,104.0,0.0,8.0,8.0,0.0
New Prague Area Schools,St. Wenceslaus,24.0,27.0,32.0,27.0,15.0,19.0,17.0,137.0,35.0,196.0,0.0,25.0,25.0,3.0
New Prague Area Schools,Holy Cross Catholic School,13.0,19.0,16.0,12.0,12.0,14.0,12.0,85.0,21.0,119.0,0.0,6.0,6.0,0.0
Becker Public School District,Jubilee Christian School,6.0,7.0,8.0,5.0,5.0,5.0,4.0,34.0,24.0,64.0,0.0,0.0,0.0,0.0
Elk River Public School District,St. Andrew Catholic School,22.0,26.0,25.0,27.0,22.0,26.0,10.0,136.0,0.0,158.0,0.0,4.0,4.0,6.0
Elk River Public School District,St. John Lutheran School,18.0,15.0,23.0,18.0,19.0,16.0,10.0,101.0,23.0,142.0,0.0,12.0,12.0,0.0
Elk River Public School District,Mary Queen of Peace Catholic School,14.0,20.0,21.0,17.0,14.0,10.0,0.0,82.0,0.0,96.0,0.0,6.0,6.0,0.0
Elk River Public School District,My Own Montessori,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Elk River Public School District,Good Shepherd Lutheran High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0
Elk River Public School District,Trilogy STEM Academy,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,15.0,17.0,0.0,0.0,0.0,0.0
Holdingford Public School District,Aletheia Christian Academy,4.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0
Melrose Public School District,Sacred Heart,15.0,21.0,17.0,17.0,14.0,10.0,16.0,95.0,0.0,110.0,0.0,21.0,21.0,0.0
Melrose Public School District,St. John's - St. Andrew's Catholic School,5.0,7.0,5.0,4.0,5.0,4.0,7.0,32.0,0.0,37.0,0.0,9.0,9.0,0.0
Melrose Public School District,St. Mary's Catholic School,13.0,17.0,15.0,14.0,17.0,12.0,21.0,96.0,0.0,109.0,0.0,14.0,14.0,0.0
St. Cloud Public School District,Granite City Baptist Academy,3.0,6.0,1.0,0.0,2.0,0.0,2.0,11.0,10.0,24.0,0.0,0.0,0.0,0.0
St. Cloud Public School District,Cathedral,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,501.0,567.0,0.0,80.0,80.0,5.0
St. Cloud Public School District,St. Cloud Christian School,17.0,10.0,18.0,21.0,15.0,14.0,22.0,100.0,128.0,245.0,0.0,32.0,32.0,0.0
St. Cloud Public School District,St. Katharine Drexel,24.0,23.0,20.0,29.0,27.0,36.0,0.0,135.0,0.0,159.0,0.0,19.0,19.0,6.0
St. Cloud Public School District,St. John's Preparatory School,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,268.0,296.0,0.0,37.0,37.0,28.0
St. Cloud Public School District,St. Joseph Catholic School,17.0,22.0,17.0,20.0,16.0,14.0,0.0,89.0,0.0,106.0,0.0,2.0,2.0,0.0
St. Cloud Public School District,St. Mary Help of Christians,14.0,9.0,11.0,17.0,16.0,14.0,0.0,67.0,0.0,81.0,0.0,0.0,0.0,0.0
St. Cloud Public School District,All Saints Academy-St. Cloud Campus,29.0,17.0,15.0,23.0,17.0,39.0,0.0,111.0,0.0,140.0,0.0,30.0,30.0,0.0
St. Cloud Public School District,St. Wendelin,11.0,3.0,10.0,4.0,6.0,5.0,0.0,28.0,0.0,39.0,0.0,6.0,6.0,0.0
St. Cloud Public School District,St. Robert Bellarmine Academy,11.0,5.0,7.0,11.0,8.0,6.0,5.0,42.0,44.0,97.0,0.0,0.0,0.0,0.0
St. Cloud Public School District,Holy Innocents,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0
St. Cloud Public School District,Children's Day Montessori,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
St. Cloud Public School District,St. Elizabeth Ann Seton School,15.0,13.0,14.0,20.0,10.0,11.0,0.0,68.0,0.0,83.0,0.0,36.0,36.0,13.0
St. Cloud Public School District,Northland Christian School,3.0,0.0,2.0,3.0,1.0,3.0,1.0,10.0,7.0,20.0,0.0,0.0,0.0,0.0
St. Cloud Public School District,Prince of Peace Lutheran School,20.0,16.0,19.0,12.0,16.0,14.0,13.0,90.0,23.0,133.0,0.0,13.0,13.0,0.0
St. Cloud Public School District,Calvary Classical Academy,7.0,7.0,6.0,7.0,8.0,6.0,8.0,42.0,15.0,64.0,0.0,0.0,0.0,0.0
Sauk Centre Public School District,Holy Family,42.0,27.0,41.0,37.0,41.0,31.0,35.0,212.0,0.0,254.0,0.0,49.0,49.0,0.0
Albany Public School District,Holy Family,18.0,19.0,15.0,11.0,17.0,18.0,0.0,80.0,0.0,98.0,0.0,6.0,6.0,0.0
Sartell-St. Stephen School District,St. Francis Xavier,36.0,23.0,30.0,28.0,32.0,34.0,0.0,147.0,0.0,183.0,0.0,5.0,5.0,0.0
Sartell-St. Stephen School District,Immaculate Conception Academy,2.0,1.0,3.0,4.0,2.0,3.0,4.0,17.0,9.0,28.0,0.0,0.0,0.0,0.0
ROCORI Public School District,St. Boniface,25.0,32.0,34.0,29.0,28.0,39.0,23.0,185.0,0.0,210.0,0.0,5.0,5.0,0.0
ROCORI Public School District,Saints Peter & Paul,17.0,18.0,11.0,20.0,6.0,14.0,0.0,69.0,0.0,86.0,0.0,2.0,2.0,0.0
Owatonna Public School District,St. Mary's School,30.0,22.0,24.0,27.0,41.0,29.0,38.0,181.0,51.0,262.0,0.0,34.0,34.0,0.0
Owatonna Public School District,Owatonna Christian,11.0,13.0,5.0,13.0,11.0,4.0,8.0,54.0,20.0,85.0,0.0,0.0,0.0,0.0
Bertha-Hewitt Public School District,Pioneer Amish Parochial School,4.0,3.0,2.0,2.0,3.0,1.0,2.0,13.0,9.0,26.0,0.0,0.0,0.0,0.0
Bertha-Hewitt Public School District,Oak Grove,4.0,4.0,2.0,2.0,4.0,3.0,2.0,17.0,9.0,30.0,0.0,0.0,0.0,0.0
Browerville Public School District,Christ the King Parochial,4.0,1.0,7.0,6.0,0.0,6.0,6.0,26.0,0.0,30.0,0.0,13.0,13.0,0.0
Wabasha-Kellogg Public School District,St. Felix Catholic School,9.0,11.0,12.0,12.0,6.0,9.0,10.0,60.0,0.0,69.0,0.0,3.0,3.0,1.0
Lake City Public School District,St. John's Lutheran,11.0,6.0,8.0,7.0,4.0,3.0,8.0,36.0,11.0,58.0,0.0,0.0,0.0,0.0
Prinsburg Public School District,Central Minnesota Christian School,21.0,34.0,33.0,24.0,22.0,33.0,22.0,168.0,163.0,352.0,0.0,102.0,102.0,0.0
Verndale Public School District,Verndale Area Christian Academy,13.0,10.0,7.0,8.0,10.0,0.0,5.0,40.0,0.0,53.0,0.0,40.0,40.0,0.0
Waseca Public School District,Sacred Heart,18.0,16.0,20.0,19.0,12.0,0.0,0.0,67.0,0.0,85.0,0.0,22.0,22.0,0.0
Forest Lake Public School District,St. Peter,29.0,40.0,35.0,38.0,35.0,31.0,38.0,217.0,36.0,282.0,0.0,22.0,22.0,0.0
Mahtomedi Public School District,St. Jude of the Lake,28.0,29.0,28.0,37.0,29.0,20.0,23.0,166.0,27.0,221.0,0.0,16.0,16.0,0.0
South Washington County Schools,New Life Academy,52.0,53.0,46.0,53.0,54.0,48.0,57.0,311.0,311.0,674.0,0.0,0.0,0.0,1.0
South Washington County Schools,Hope Christian Academy,7.0,2.0,4.0,4.0,2.0,3.0,4.0,19.0,14.0,40.0,0.0,13.0,13.0,0.0
South Washington County Schools,Saint Ambrose Woodbury Catholic School,68.0,63.0,66.0,72.0,68.0,73.0,62.0,404.0,123.0,595.0,0.0,17.0,17.0,0.0
Stillwater Area Public Schools,St. Croix Catholic,42.0,31.0,47.0,37.0,39.0,33.0,29.0,216.0,47.0,305.0,0.0,35.0,35.0,1.0
Stillwater Area Public Schools,Salem Lutheran,14.0,14.0,8.0,15.0,15.0,9.0,10.0,71.0,20.0,105.0,0.0,9.0,9.0,0.0
Stillwater Area Public Schools,St. Croix Montessori School,12.0,13.0,12.0,8.0,12.0,8.0,4.0,57.0,0.0,69.0,0.0,0.0,0.0,0.0
Stillwater Area Public Schools,Chesterton Academy of the St. Croix Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,11.0,11.0,2.0
Stillwater Area Public Schools,Liberty Classical Academy - Hugo Campus,41.0,43.0,47.0,0.0,0.0,0.0,0.0,90.0,0.0,131.0,0.0,0.0,0.0,0.0
Madelia Public School District,St. Mary,13.0,9.0,15.0,7.0,11.0,5.0,9.0,56.0,0.0,69.0,0.0,12.0,12.0,7.0
St. James Public School District,St. Paul's Lutheran School,7.0,6.0,9.0,5.0,6.0,2.0,6.0,34.0,7.0,48.0,0.0,13.0,13.0,0.0
Breckenridge Public School District,St. Mary's Catholic School,16.0,22.0,12.0,10.0,12.0,12.0,14.0,82.0,22.0,120.0,0.0,19.0,19.0,0.0
Lewiston-Altura Public School District,Immanuel Lutheran,15.0,13.0,9.0,8.0,16.0,5.0,12.0,63.0,24.0,102.0,0.0,36.0,36.0,0.0
Lewiston-Altura Public School District,St. John's Ev. Lutheran School,9.0,6.0,7.0,7.0,6.0,2.0,13.0,41.0,18.0,68.0,0.0,14.0,14.0,0.0
Winona Area Public School District,Hope Lutheran High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,0.0,13.0,13.0,0.0
Winona Area Public School District,Cotter Schools Grades K-6,57.0,54.0,69.0,71.0,74.0,87.0,69.0,424.0,0.0,481.0,0.0,54.0,54.0,6.0
Winona Area Public School District,Cotter Schools Grades 7-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,416.0,0.0,36.0,36.0,18.0
Winona Area Public School District,Main Square Montessori,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0
Winona Area Public School District,St. John's Lutheran,7.0,10.0,7.0,9.0,7.0,6.0,11.0,50.0,11.0,68.0,0.0,8.0,8.0,0.0
Winona Area Public School District,St. Martin's Lutheran,11.0,10.0,12.0,10.0,17.0,8.0,22.0,79.0,16.0,106.0,0.0,21.0,21.0,0.0
Winona Area Public School District,St. Matthew's Lutheran,9.0,9.0,6.0,14.0,4.0,6.0,4.0,43.0,6.0,58.0,0.0,15.0,15.0,0.0
Winona Area Public School District,Anchor Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
Buffalo-Hanover-Montrose Schools,St. Francis Xavier,31.0,22.0,28.0,35.0,26.0,30.0,28.0,169.0,47.0,247.0,0.0,32.0,32.0,0.0
Buffalo-Hanover-Montrose Schools,Salem Lutheran,8.0,10.0,9.0,10.0,5.0,8.0,12.0,54.0,11.0,73.0,0.0,10.0,10.0,0.0
Buffalo-Hanover-Montrose Schools,Impact Christian Academy,10.0,13.0,7.0,12.0,10.0,12.0,9.0,63.0,34.0,107.0,0.0,0.0,0.0,0.0
Delano Public School District,Mt. Olive Lutheran,4.0,12.0,4.0,4.0,3.0,5.0,2.0,30.0,5.0,39.0,0.0,0.0,0.0,0.0
Delano Public School District,St. Maximilian Kolbe Catholic School,12.0,9.0,13.0,15.0,2.0,8.0,7.0,54.0,10.0,76.0,0.0,11.0,11.0,0.0
Maple Lake Public School District,St. Timothy's School,17.0,15.0,20.0,20.0,14.0,14.0,10.0,93.0,24.0,134.0,0.0,41.0,41.0,0.0
Monticello Public School District,Holy Spirit Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0
St. Michael-Albertville School District,St. Michael Catholic School,47.0,50.0,49.0,48.0,48.0,48.0,48.0,291.0,96.0,434.0,0.0,32.0,32.0,0.0
Canby Public School District,St. Peter's School,4.0,3.0,9.0,3.0,6.0,8.0,9.0,38.0,0.0,42.0,0.0,13.0,13.0,0.0
Cambridge-Isanti Public School District,Cambridge Christian School,20.0,20.0,18.0,16.0,15.0,18.0,14.0,101.0,88.0,209.0,0.0,0.0,0.0,4.0
Cambridge-Isanti Public School District,St. Scholastica HSC  Academy,0.0,4.0,6.0,2.0,3.0,3.0,1.0,19.0,21.0,40.0,0.0,29.0,29.0,0.0
Milaca Public School District,Community Christian,18.0,13.0,14.0,12.0,13.0,5.0,5.0,62.0,14.0,94.0,0.0,7.0,7.0,0.0
Milaca Public School District,Faith Christian,8.0,9.0,9.0,8.0,10.0,15.0,12.0,63.0,41.0,112.0,0.0,14.0,14.0,0.0
Triton School District,Grace Lutheran,4.0,5.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0,0.0
Triton School District,Maranatha Adventist Christian School,0.0,5.0,2.0,4.0,5.0,4.0,3.0,23.0,2.0,25.0,0.0,0.0,0.0,0.0
United South Central School District,St. Casimir's School,4.0,4.0,3.0,6.0,1.0,7.0,0.0,21.0,0.0,25.0,0.0,7.0,7.0,0.0
Kingsland Public School District,St. Johns Lutheran,2.0,7.0,3.0,3.0,4.0,6.0,2.0,25.0,5.0,32.0,0.0,8.0,8.0,0.0
Chisago Lakes School District,Chisago Christian School,10.0,15.0,15.0,12.0,10.0,14.0,8.0,74.0,36.0,120.0,0.0,6.0,6.0,0.0
Chisago Lakes School District,Veritas Academy East Campus,0.0,2.0,0.0,3.0,2.0,2.0,2.0,11.0,7.0,18.0,0.0,12.0,12.0,2.0
Minnewaska School District,Lake Country Christian School,2.0,3.0,4.0,4.0,4.0,2.0,2.0,19.0,4.0,25.0,0.0,0.0,0.0,0.0
Staples-Motley School District,Sacred Heart Area School,13.0,10.0,18.0,12.0,11.0,14.0,9.0,74.0,0.0,87.0,0.0,19.0,19.0,0.0
Kittson Central School District,OneSchool Global - Pembina Campus,0.0,0.0,0.0,0.0,1.0,4.0,4.0,9.0,25.0,34.0,0.0,0.0,0.0,0.0
Pine River-Backus School District,Foothills Christian Academy,4.0,1.0,3.0,1.0,1.0,5.0,3.0,14.0,15.0,33.0,0.0,0.0,0.0,0.0
Sibley East School District,St. Paul's Lutheran,9.0,5.0,9.0,6.0,5.0,3.0,8.0,36.0,10.0,55.0,0.0,9.0,9.0,0.0
Sibley East School District,Immanuel Lutheran,8.0,6.0,7.0,8.0,4.0,5.0,5.0,35.0,17.0,60.0,0.0,3.0,3.0,0.0
Tri-County School District,Heritage Christian,7.0,3.0,4.0,3.0,4.0,2.0,3.0,19.0,12.0,38.0,0.0,0.0,0.0,0.0
GFW Public Schools,Prairie Lutheran School,7.0,9.0,7.0,6.0,9.0,6.0,5.0,42.0,19.0,68.0,0.0,17.0,17.0,0.0
GFW Public Schools,Starland School,2.0,3.0,3.0,2.0,3.0,2.0,0.0,13.0,10.0,25.0,0.0,25.0,25.0,0.0
A.C.G.C. Public School District,Riverview Christian School,0.0,4.0,3.0,2.0,3.0,4.0,2.0,18.0,15.0,33.0,0.0,0.0,0.0,0.0
Le Sueur-Henderson School District,St. Anne's,18.0,16.0,20.0,19.0,20.0,16.0,0.0,91.0,0.0,109.0,0.0,6.0,6.0,0.0
Le Sueur-Henderson School District,Altona Christian School,6.0,0.0,5.0,0.0,5.0,0.0,8.0,18.0,16.0,40.0,0.0,0.0,0.0,0.0
Bird Island-Olivia-Lake Lillian Public School District,St. Mary's,2.0,12.0,12.0,15.0,17.0,18.0,20.0,94.0,25.0,121.0,0.0,19.0,19.0,0.0
East Central School District,Harvest Christian School,6.0,4.0,3.0,4.0,3.0,2.0,3.0,19.0,24.0,49.0,0.0,0.0,0.0,0.0
Win-E-Mac School District,Freedom Christian Academy,6.0,6.0,0.0,2.0,1.0,0.0,2.0,11.0,1.0,18.0,0.0,0.0,0.0,0.0
Howard Lake-Waverly-Winsted,St. James Lutheran,12.0,14.0,15.0,13.0,16.0,9.0,8.0,75.0,9.0,96.0,0.0,17.0,17.0,0.0
Howard Lake-Waverly-Winsted,Holy Trinity,12.0,4.0,9.0,12.0,4.0,4.0,3.0,36.0,50.0,98.0,0.0,33.0,33.0,0.0
Fairmont Area School District,St. James Lutheran,7.0,5.0,6.0,6.0,6.0,2.0,6.0,31.0,0.0,38.0,0.0,9.0,9.0,1.0
Fairmont Area School District,St. John Vianney,9.0,11.0,13.0,10.0,8.0,14.0,9.0,65.0,0.0,74.0,0.0,21.0,21.0,0.0
Fairmont Area School District,St. Paul Lutheran,13.0,13.0,11.0,6.0,7.0,8.0,6.0,51.0,6.0,70.0,0.0,11.0,11.0,0.0
Fairmont Area School District,Martin Luther High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,20.0,20.0,0.0
Fairmont Area School District,Fairmont Christian School,13.0,10.0,9.0,7.0,2.0,8.0,1.0,37.0,0.0,50.0,0.0,20.0,20.0,0.0
Long Prairie-Grey Eagle School District,St. Mary of Mt. Carmel,15.0,8.0,6.0,13.0,14.0,15.0,19.0,75.0,0.0,90.0,0.0,41.0,41.0,22.0
Long Prairie-Grey Eagle School District,St. John Vianney Academy,0.0,3.0,3.0,5.0,3.0,6.0,5.0,25.0,7.0,32.0,0.0,0.0,0.0,0.0
Morris Area Public Schools,St. Mary's Catholic School,13.0,11.0,11.0,11.0,10.0,12.0,9.0,64.0,0.0,77.0,0.0,11.0,11.0,6.0
Zumbrota-Mazeppa School District,Christ Lutheran School,9.0,6.0,5.0,4.0,5.0,10.0,5.0,35.0,10.0,54.0,0.0,1.0,1.0,0.0
Janesville-Waldorf-Pemberton,Trinity Lutheran,10.0,14.0,15.0,10.0,14.0,13.0,11.0,77.0,22.0,109.0,0.0,29.0,29.0,0.0
Glencoe-Silver Lake School District,First Lutheran School,17.0,23.0,13.0,10.0,18.0,15.0,18.0,97.0,17.0,131.0,0.0,33.0,33.0,0.0
Blue Earth Area School District,Genesis Classical Academy,9.0,6.0,12.0,8.0,9.0,13.0,8.0,56.0,36.0,101.0,0.0,30.0,30.0,0.0
Jackson County Central School District,Immanuel Lutheran,13.0,19.0,8.0,18.0,9.0,10.0,9.0,73.0,18.0,104.0,0.0,11.0,11.0,1.0
Redwood Area School District,St. John Lutheran School,15.0,24.0,17.0,12.0,14.0,14.0,12.0,93.0,25.0,133.0,0.0,42.0,42.0,0.0
Redwood Area School District,OneSchool Global,0.0,0.0,0.0,7.0,3.0,2.0,3.0,15.0,14.0,29.0,0.0,0.0,0.0,0.0
Plainview-Elgin-Millville,Immanuel Lutheran,6.0,10.0,7.0,6.0,8.0,6.0,4.0,41.0,13.0,60.0,0.0,1.0,1.0,0.0
Tracy Area Public School District,St. Mary's School,4.0,10.0,4.0,11.0,5.0,8.0,4.0,42.0,0.0,46.0,0.0,20.0,20.0,0.0
Tri-City United School District,Most Holy Redeemer School,5.0,5.0,10.0,5.0,3.0,8.0,9.0,40.0,12.0,57.0,0.0,8.0,8.0,4.0
Rock Ridge Public Schools,Marquette,27.0,15.0,23.0,14.0,19.0,23.0,24.0,118.0,40.0,185.0,0.0,26.0,26.0,0.0
All,Total,6681.0,6447.0,6583.0,6475.0,6307.0,6156.0,6054.0,38022.0,28440.0,73143.0,0.0,8581.0,8581.0,1660.0
,,,,,,,,,,,,,,,
